num_proteins,graph_time_sec,graph_peak_mem_MB,ilp_num_vars,ilp_num_constraints,ilp_single_forbidden_cnt,ilp_inter_forbidden_cnt,forbidden_time_sec,ilp_setup_time_sec,ilp_setup_peak_mem_MB,ilp_optimize_time_sec,ilp_optimize_peak_mem_MB,ilp_objective,ilp_path_length,ilp_status
2,262,2600.632494,5773262,80284,0,12168,464.1467671394348,211.56250286102295,3553.370625,77.64872670173645,163.885575,14.958385878831349,42,2
3,378,4040.260027,9011436,185508,60132,19224,1293.2865810394287,368.797465801239,5254.61422,270.1891255378723,257.500686,26.761724141493634,66,2
4,440,4684.196544,10491895,226018,60132,41588,1786.6295037269592,432.4639801979065,5775.237225,344.33378505706787,300.087818,31.85850954249744,78,2
5,535,5733.436659,12840872,437785,80238,205275,3238.579575777054,591.4097812175751,7047.907407,677.2847454547882,371.78865,40.75532731594771,96,2
6,635,6781.802326,15196742,777305,158564,438417,5249.074435949326,828.9328320026398,8275.321422,1330.8801636695862,447.259572,50.95863323207077,114,2
7,765,7758.472148,17394073,894779,158564,529633,6642.078412532806,919.5471234321594,9382.617803,1276.8502242565155,512.074112,58.822277987188514,132,2
8,811,8465.892428,18998606,999363,158564,614667,7962.601125001907,1003.7690377235413,10227.850646,1329.2329597473145,559.929661,65.22122446146777,146,2
9,863,8956.111397,20118012,1084177,174498,669520,9229.304748773575,1068.765058040619,10676.648563,1502.5105319023132,593.647548,68.77624745000335,156,2
10,1021,10197.745228,22887104,1687908,282811,1132206,13597.92474079132,1775.4144458770752,12347.946021,4210.495931386948,688.086627,77.91399680537778,176,2
